Name,Profile_Link,Research_Interests,Dept.....AE.,Tags
Sanjay Kumar,https://iitk.irins.org/profile/110956,"Research Interests: Fluid Mechanics - bluff body wakes, shock-accelerated flows, shock waves, shock tubes",AE,Other Research Areas
Tufan Kumar Guha,https://sites.google.com/view/eag-iitk-ae/,"Research Interests: Experimental Aerodynamics and Fluid Mechanics, Active and Passive Flow Control",AE,Aerodynamics
Ashish Tewari,https://home.iitk.ac.in/~ashtew,"Research Interests: Flight Mechanics, Control, Aeroservoelasticity, Unsteady Aerodynamics, Space Dynamics",AE,"Flight Mechanics, Aerodynamics"
Dipak Kumar Giri,https://sites.google.com/view/dipakgiri,"Research Interests: Linear and nonlinear controls for aerospace systems (flight vehicle), Satellite Attitude Dynamics and Control.",AE,Other Research Areas
Raghavendra P. Kukillaya,https://scholar.google.com/citations?user=_QhtHzYAAAAJ&hl=en,"Research Interests: Aircraft and Airship dynamics and control, Systems modeling, simulation and design, Optimal control, Biomechanics",AE,Other Research Areas
Subrahmanyam Saderla,https://home.iitk.ac.in/~saderlas/,"Research Interests: Real Time Aircraft Parameter Estimation, Aerodynamic Characteristics of UAVs using flight testing methods, Aircraft Instrumentation and Control, Aircraft/UAV Simulations and Simulator development, Unmanned Aerial Vehicle Design, Experimental Flight Dynamics, Drone Design and Development, AI based controller design for UAVs, Controller reconfiguration of UAVs using online system identification",AE,Other Research Areas
Abhishek,https://home.iitk.ac.in/~abhish/,"Research Interests: Rotary Wing Aeromechanics, Hover Capable Unmanned Air Vehicles (UAV), System Identification, Multibody Dynamics, Inverse Flight Dynamics Simulation for Helicopters, VTOL, Helicopter Design",AE,Other Research Areas
C. S. Upadhyay,https://home.iitk.ac.in/~shekhar,"Research Interests: Solid Mechanics, Adaptive Finite Element Methods, Structural Optimization",AE,Other Research Areas
G.M.Kamath,https://www.gmkamath.in/,"Research Interests: Structural Health Monitoring, Composite Materials and Structures, Structural Dynamics, Condition Monitoring, Machine Learning, Aeroelasticity",AE,Other Research Areas
P. M. Mohite,https://home.iitk.ac.in/~mohite,"Research Interests: Damage Mechanics of Laminated Composites, Composites, Finite Element Analysis",AE,Other Research Areas
Pritam Chakraborty,https://home.iitk.ac.in/~cpritam/,"Research Interests: Mesoscale mechanics for plasticity, fatigue, creep and fracture; FEM; Multi-scale methods",AE,Other Research Areas
Rajesh Kitey,https://home.iitk.ac.in/~kitey/,"Research Interests: Solid Mechanics, Fracture Mechanics, Experimental Stress Analysis, Optical Metrology, Mechanics of Thin Films, Composite Materials, Finite Element and Boundary Element Methods",AE,Other Research Areas
Tanmoy Mukhopadhyay,https://www.tmukhopadhyay.com/,"Research Interests: Mechanical metamaterials, Advanced composites, Deployable materials and structures, 2D materials and heterostructures, Multi-scale mechanics (nano to macro), Stochastic analysis, Uncertainty quantification and reliability analysis, Surrogate modelling, Machine learning, Artificial intelligence, Additive manufacturing",AE,Other Research Areas
Tanmay Dutt Mathur,https://iitk.irins.org/profile/415747,"Research Interests: Rotorcraft and aeroengine gearboxes, rotordynamics of turbomachinery, design of rotating mechanical systems, tribology and lubrication.",AE,Other Research Areas
Abhijit Kushari,https://home.iitk.ac.in/~akushari/,"Research Interests: Rocket and Gas Turbine Propulsion, Instrumentation in Combustion and Fluid Mechanics, Liquid Atomization and Liquid Combustion, Active Flow Control, Combustion Instability, Experimental Fluid Mechanics, High Speed Flows",AE,"Flight Mechanics, Aerodynamics, Propulsion"
Ajay Vikram Singh,https://www.ajayvsaero.com/,"Research Interests: Combustion and Reacting Flows, Combustion Generated Functional Nanoparticles, Soot Formation and Oxidation, Detonations, Boundary Layer Combustion, Gas Turbine Combustion, Fire Dynamics, Flame Spread, Material Flammability, Renewable Energy Conversion",AE,Propulsion
Ashoke De,https://home.iitk.ac.in/~ashoke,"Research Interests: CFD, High Speed Flows, Flow-Acoustics Coupling, Fluid-Structure Interaction, Turbulence Modeling, Multiphase flows and Combustion, Energy Harvesting",AE,"Aerodynamics, Propulsion, CFD (Computational Fluid Dynamics)"
D. Chaitanya Kumar Rao,https://chaitanyarao.in/,"Research Interests: Evaporation and combustion of fuel droplets, Laser-induced evaporation and atomization of droplets, Pulse laser-induced atomization of droplets, Femtosecond laser-induced bubble dynamics",AE,Propulsion
D. P. Mishra,/aero/dpm/index.htm,"Research Interests: Combustion, CFD of Chemically Reacting Flows, Propulsion, Heat Transfer",AE,"Propulsion, CFD (Computational Fluid Dynamics)"
Rajesh Ranjan,https://home.iitk.ac.in/~rajeshr,"Research Interests: Turbomachinery Flows, Applied Aerodynamics, Stability & Flow Control, Transition and Relaminarization, High Performance Computing",AE,"Flight Mechanics, Aerodynamics"
Sathesh Mariappan,https://sites.google.com/view/sathesh-mariappan/,"Research Interests: Fundamentals of thermoacoustic interactions, Application of dynamical systems' theory to thermo fluid systems, Optical flow diagnostics, Acoustic measurements",AE,Other Research Areas
Vaibhav Arghode,https://sites.google.com/view/varghode,"Research Interests: Combustion, Heat Transfer, Fluid Mechanics, Experimental Methods, Computational Fluid Dynamics",AE,"Propulsion, CFD (Computational Fluid Dynamics)"
Arnab Samanta,https://sites.google.com/view/fpcal,"Research Interests: Fluid mechanics, aeroacoustics, hydrodynamic stability, wave mechanics, flow control",AE,"Flight Mechanics, Aerodynamics, Aeroacoustics"
Ashoke De,https://home.iitk.ac.in/~ashoke,"Research Interests: CFD, High Speed Flows, Flow-Acoustics Coupling, Fluid-Structure Interaction, Turbulence Modeling, Multiphase flows and Combustion, Energy Harvesting",AE,"Aerodynamics, Propulsion, CFD (Computational Fluid Dynamics)"
C. S. Upadhyay,https://home.iitk.ac.in/~shekhar,"Research Interests: Solid Mechanics, Adaptive Finite Element Methods, Structural Optimization",AE,Other Research Areas
Pradeep Moise,https://www.pradeepmoise.com/,"Research Interests: Computational fluid dynamics, swirling flows, transonic flows, hydrodynamic stability, modal decomposition",AE,"Flight Mechanics, CFD (Computational Fluid Dynamics)"
P. M. Mohite,https://home.iitk.ac.in/~mohite,"Research Interests: Damage Mechanics of Laminated Composites, Composites, Finite Element Analysis",AE,Other Research Areas
Pritam Chakraborty,https://home.iitk.ac.in/~cpritam/,"Research Interests: Mesoscale mechanics for plasticity, fatigue, creep and fracture; FEM; Multi-scale methods",AE,Other Research Areas
Sanjay Mittal,https://home.iitk.ac.in/~smittal,"Research Interests: Aerodynamics, CFD, FEM",AE,"Aerodynamics, CFD (Computational Fluid Dynamics)"
Tanmoy Mukhopadhyay,https://www.tmukhopadhyay.com/,"Research Interests: Mechanical metamaterials, Advanced composites, Deployable materials and structures, 2D materials and heterostructures, Multi-scale mechanics (nano to macro), Stochastic analysis, Uncertainty quantification and reliability analysis, Surrogate modelling, Machine learning, Artificial intelligence, Additive manufacturing",AE,Other Research Areas
Abhijit Kushari,https://home.iitk.ac.in/~akushari/,"Research Interests: Rocket and Gas Turbine Propulsion, Instrumentation in Combustion and Fluid Mechanics, Liquid Atomization and Liquid Combustion, Active Flow Control, Combustion Instability, Experimental Fluid Mechanics, High Speed Flows",AE,"Flight Mechanics, Aerodynamics, Propulsion"
Ajay Vikram Singh,https://www.ajayvsaero.com/,"Research Interests: Combustion and Reacting Flows, Combustion Generated Functional Nanoparticles, Soot Formation and Oxidation, Detonations, Boundary Layer Combustion, Gas Turbine Combustion, Fire Dynamics, Flame Spread, Material Flammability, Renewable Energy Conversion",AE,Propulsion
Arun Kumar Perumal,https://scholar.google.com/citations?user=XjU5ULsAAAAJ&hl=en,"Research Interests: Experimental aerodynamics, High speed flows, Subsonic and supersonic jets, Jets in cross flow, Impinging jets, Drag reduction on automotive vehicles.",AE,Aerodynamics
D. Chaitanya Kumar Rao,https://chaitanyarao.in/,"Research Interests: Evaporation and combustion of fuel droplets, Laser-induced evaporation and atomization of droplets, Pulse laser-induced atomization of droplets, Femtosecond laser-induced bubble dynamics",AE,Propulsion
Mohammed Ibrahim Sugarno,https://scholar.google.com/citations?user=Stq51T0AAAAJ&hl=en,"Research Interests: Experimental Hypersonic Aerothermodynamics, High Enthalpy Test Facilities, Shock Waves",AE,Other Research Areas
Rajesh Ranjan,https://home.iitk.ac.in/~rajeshr,"Research Interests: Turbomachinery Flows, Applied Aerodynamics, Stability & Flow Control, Transition and Relaminarization, High Performance Computing",AE,"Flight Mechanics, Aerodynamics"
Rakesh Kumar,https://home.iitk.ac.in/~rkm,"Research Interests: Hypersonics, Rarefied Gas Dynamics, Microfluidics, Molecular Dynamics, Heat Transfer & Thermal Design",AE,Other Research Areas
Sanjay Kumar,https://iitk.irins.org/profile/110956,"Research Interests: Fluid Mechanics - bluff body wakes, shock-accelerated flows, shock waves, shock tubes",AE,Other Research Areas
Sathesh Mariappan,https://sites.google.com/view/sathesh-mariappan/,"Research Interests: Fundamentals of thermoacoustic interactions, Application of dynamical systems' theory to thermo fluid systems, Optical flow diagnostics, Acoustic measurements",AE,Other Research Areas
Tufan Kumar Guha,https://sites.google.com/view/eag-iitk-ae/,"Research Interests: Experimental Aerodynamics and Fluid Mechanics, Active and Passive Flow Control",AE,Aerodynamics
